Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Horario;
PONTEVEDRA;SANXENXO;PORTONOVO;36970;MUELLE COMERCIAL, S/Nº;N;-8,817778;42,395833;;;1,721;855,000;;REPSOL;Mixto;L-D: 24H;
PONTEVEDRA;VIGO;VIGO;36202;AVDA. DE BEIRAMAR, 61;N;-8,617904;42,296598;;;;;765,000;REPSOL;Suministro a pesqueros;L-D: 24H;
PONTEVEDRA;VIGO;VIGO;36208;MUELLE DE REPARACIONES DE BOUZAS S/N;N;-8,743111;42,230861;1,900;;1,780;;;MARINA DAVILA;Suministro a barcos deportivos o de recreo;L-D: 08:00-22:00;
PONTEVEDRA;VIGO;VIGO;36207;BAJADA A LA LAGOA S/N;N;-8,707083;42,256194;2,050;;2,000;;;REPSOL;Mixto;L: 09:00-20:00;
PONTEVEDRA;VILAGARCÍA DE AROUSA;VILAXOAN;36611;PUERTO DE VILAXOAN, S/N.;N;-8,791333;42,589472;1,699;;1,669;1137,000;;E.S. PORTO DE VILAXOAN;Mixto;"L-V: 08:00-13:30 y 15:00-19:30; S: 08:00-13:00 y 15:00-18:00";
PONTEVEDRA;VILANOVA DE AROUSA;VILANOVA DE AROUSA;36620;PUERTO DE VILANOVA S/N;N;-8,834611;42,564667;1,699;;1,629;1137,000;;CARBURANTES PORTO DE VILANOVA;Mixto;"L-V: 08:00-15:00; S: 09:00-14:00";
SANTA CRUZ DE TENERIFE;ADEJE;ADEJE;38670;PUERTO DEPORTIVO PUERTO COLON, EDF.CAPITANIA 1ª PLANTA;N;-16,737889;28,079333;1,376;;1,359;;;DISA;Suministro a barcos deportivos o de recreo;L-D: 08:00-17:45;
SANTA CRUZ DE TENERIFE;ARONA;ARONA;38649;MUELLE TRANSVERSAL DEL PUERTO DE LOS CRISTIANOS;N;-16,718694;28,047917;1,361;;1,281;;;NAC MARINE FUEL ;Mixto;L-S: 08:00-14:30;
SANTA CRUZ DE TENERIFE;ARONA;ARONA;38627;PUERTO DEPORTIVO PESQUERO DE LAS GALLETAS TORRE DE CONTROL 2ª PLANTA;N;-16,661111;28,007083;1,399;;1,349;;;MARINA DEL SUR;Suministro a barcos deportivos o de recreo;L-D: 09:00-19:00;
SANTA CRUZ DE TENERIFE;SAN SEBASTIÁN DE LA GOMERA;SAN SEBASTIAN DE LA GOMERA;38800;PUERTO DEPORTIVO, S/N;N;-17,107028;28,089583;1,650;;1,526;;;DISA;Mixto;L-D: 08:00-18:00;
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE LA PALMA;SANTA CRUZ DE LA PALMA;38700;DARSENA DE EMBARCACIONES MENORES PUERTO SANTA CRUZ DE LA PALMA;N;-17,767333;28,679083;1,575;;1,582;;;SIN ROTULO;Suministro a barcos deportivos o de recreo;"L-S: 08:00-20:00; D: 08:00-15:30";
